Pairs,Frequency,Dates
18-22-82,2,"2013/1/29,2012/11/6"
20-47-66,2,"2015/12/12,2014/5/15"
10-82,2,"2014/12/6,2013/12/19"
6-56-83,2,"2015/2/24,2014/10/11"
31-62,8,"2021/5/29,2019/5/18,2017/3/16,2015/5/9,2014/2/15,2013/10/8,2010/4/29,2009/5/30"
28-62,9,"2022/10/6,2022/7/30,2022/7/16,2021/2/18,2020/10/17,2015/6/18,2014/11/15,2014/7/26,2012/2/23"
1-2-67,2,"2016/4/14,2009/1/22"
2-12-78,2,"2022/6/18,2012/7/3"
1-33-41-78-83-84,1,2013/8/13
30-49-74,3,"2022/3/22,2016/2/13,2009/12/3"
32-51-79,2,"2019/4/23,2017/1/19"
1-31-39,2,"2013/10/8,2011/1/4"
15-39,15,"2022/8/27,2022/8/9,2021/9/2,2017/9/28,2017/5/4,2016/12/17,2016/5/19,2016/1/28,2015/1/20,2014/12/27,2014/9/20,2013/11/19,2012/12/15,2010/5/4,2009/9/5"
2-55,7,"2019/2/28,2018/9/18,2014/11/13,2012/8/2,2012/7/24,2012/6/23,2011/8/16"
29-43-70,2,"2021/3/13,2019/9/7"
6-17-32-40-44-67,1,2017/8/12
26-73,8,"2021/2/25,2018/8/28,2017/11/16,2015/4/11,2015/3/7,2014/9/6,2011/1/8,2009/10/24"
10-47-58,3,"2022/2/1,2016/12/20,2011/3/19"
25-74-89,2,"2017/3/23,2011/6/18"
26-32-65,2,"2022/5/17,2020/12/5"
17-50-74,2,"2019/11/28,2009/9/22"
26-39-59,2,"2012/12/15,2010/1/12"
11-63-73,2,"2019/10/1,2013/7/23"
35-51-59,2,"2022/2/10,2018/10/27"
41-49-58,2,"2021/4/27,2009/10/31"
38-49-66,2,"2019/4/4,2012/12/10"
21-62-85,2,"2021/10/5,2017/3/16"
5-33-90,2,"2021/1/12,2019/10/12"
13-57-79,2,"2015/2/14,2012/5/5"
50-74,9,"2022/11/5,2022/1/3,2019/11/28,2018/1/20,2016/1/9,2015/10/27,2011/7/26,2010/11/4,2009/9/22"
10-28-40-57-58-78,1,2014/3/13
5-69,7,"2022/9/13,2021/2/11,2020/11/5,2017/4/11,2012/10/20,2012/7/19,2011/8/2"
49-56,11,"2021/8/10,2021/4/27,2021/1/7,2020/7/23,2018/10/23,2018/5/12,2018/1/13,2017/9/9,2016/3/3,2014/3/11,2009/8/6"
15-45-48,2,"2019/1/19,2016/7/30"
6-64-71,2,"2021/7/17,2019/4/27"
26-35-66,2,"2017/5/30,2013/5/28"
42-55,9,"2022/5/28,2020/8/29,2018/9/18,2015/5/14,2012/6/23,2012/5/29,2011/3/1,2010/4/13,2009/11/19"
9-22-41-49-52-53,1,2012/4/10
11-18-59,2,"2020/12/12,2012/7/26"
48-66-86,2,"2018/2/27,2010/8/3"
46-49,5,"2022/4/21,2022/1/18,2018/12/29,2011/6/4,2010/9/21"
39-60-77,2,"2016/10/13,2012/11/17"
10-77-86,2,"2021/10/21,2020/9/24"
45-57,9,"2022/8/30,2020/5/7,2018/8/14,2017/11/14,2015/9/29,2012/3/29,2011/8/25,2011/7/12,2010/7/22"
23-71-76,2,"2016/10/27,2011/9/24"
12-35,7,"2021/12/16,2018/10/27,2017/12/2,2012/8/4,2011/8/30,2011/5/10,2010/2/23"
26-47,8,"2018/4/30,2016/11/5,2014/2/20,2014/1/4,2013/5/28,2012/4/19,2010/3/20,2009/9/12"
25-45,13,"2020/8/4,2020/2/1,2017/2/9,2016/6/18,2016/3/1,2015/9/29,2013/11/26,2013/4/9,2012/12/1,2011/4/21,2011/2/17,2011/2/3,2009/5/2"
4-66,10,"2020/8/13,2017/10/10,2017/2/21,2015/8/13,2015/7/28,2013/4/4,2013/2/28,2013/2/9,2010/5/6,2010/1/14"
14-22-28,2,"2016/12/31,2012/1/10"
15-23-45-70-81-82,1,2013/9/5
4-11-32-51-66-81,1,2013/2/9
28-50-66,2,"2019/12/21,2010/11/11"
15-25-26-53-74-76,1,2012/7/7
49-90,7,"2022/6/7,2021/7/20,2019/5/7,2018/4/3,2016/4/26,2013/9/17,2009/10/20"
40-46-51-61-65-76,1,2014/3/4
1-10-26-28-29-62,1,2014/7/26
33-79,9,"2022/1/20,2020/7/2,2019/10/12,2018/5/17,2016/4/23,2014/4/5,2011/11/24,2010/6/8,2009/6/3"
11-58-82,2,"2019/12/10,2011/6/23"
14-26,9,"2022/10/1,2020/12/17,2020/8/1,2016/3/24,2015/1/3,2014/2/20,2013/12/21,2012/3/1,2010/2/13"
35-85,7,"2020/9/17,2020/6/25,2018/3/17,2016/11/5,2016/9/3,2013/5/14,2013/3/14"
10-62-78,2,"2017/10/17,2011/5/31"
50-88,6,"2021/1/14,2018/10/18,2017/12/21,2015/9/8,2014/10/2,2010/3/25"
34-47-60,2,"2021/2/11,2017/8/19"
10-34-45-63-81-83,1,2017/12/5
71-81,6,"2022/6/28,2017/6/13,2016/2/25,2015/3/28,2015/3/10,2012/12/27"
1-19-26-44-61-89,1,2018/1/2
21-85,13,"2022/5/12,2021/11/6,2021/10/5,2020/5/12,2017/7/4,2017/3/16,2016/11/5,2015/6/20,2013/6/1,2011/5/12,2011/3/19,2010/3/16,2009/3/26"
14-61-69-79-81-85,1,2014/6/21
20-55,13,"2021/12/30,2020/11/17,2020/2/20,2019/7/25,2019/3/30,2018/5/26,2018/4/7,2017/4/15,2016/3/1,2015/12/12,2013/10/10,2011/2/8,2010/7/13"
15-46-73,2,2020/10/10
1-6-23-52-58-65,1,2013/1/19
27-34-42-59-72-76,1,2022/9/15
53-83,13,"2022/1/27,2021/6/5,2020/1/16,2019/8/29,2019/3/28,2015/11/21,2015/8/4,2014/9/4,2014/5/27,2013/10/29,2012/11/15,2012/1/14,2009/12/17"
18-58-89,2,"2014/12/23,2011/8/6"
61-64-87,2,"2014/4/8,2011/9/13"
19-54-56-57-67-69,1,2017/6/10
2-27-38,3,"2021/1/19,2016/2/16,2011/8/16"
5-38-89,2,"2021/5/6,2012/5/15"
36-63-77,3,"2021/2/13,2016/2/6,2011/7/23"
40-43-72,3,"2021/5/3,2018/10/30,2013/7/27"
63-74-88,2,"2022/1/27,2021/4/17"
12-32-81,2,"2022/10/31,2016/1/21"
32-87,11,"2022/8/11,2022/5/26,2020/1/18,2019/11/5,2016/5/7,2015/2/12,2014/7/29,2013/5/21,2010/11/30,2010/2/11,2009/4/28"
22-25-45-46-48-88,1,2020/2/1
8-32-86,2,"2013/6/18,2010/9/9"
30-36-85,2,"2021/9/11,2015/12/15"
3-39-49,2,"2013/5/16,2012/6/14"
28-29-43,3,"2022/7/16,2021/3/13,2016/11/19"
7-48-58-60-86-87,1,2021/11/20
5-65-74,3,"2018/8/2,2013/10/5,2010/1/19"
3-27,5,"2021/1/23,2020/5/30,2017/11/18,2013/6/4,2009/4/4"
38-72,10,"2020/1/11,2019/10/5,2018/10/30,2018/7/3,2017/10/26,2016/7/14,2014/11/18,2014/8/2,2011/5/26,2009/7/2"
7-67-85,2,"2014/4/24,2010/4/24"
59-64,10,"2022/3/31,2022/2/22,2021/12/14,2020/12/12,2019/12/5,2014/10/23,2014/4/3,2012/9/6,2012/7/5,2010/8/21"
1-27-31-58-83-87,1,2018/5/24
15-20,13,"2021/10/23,2021/7/6,2021/3/9,2020/1/23,2018/11/10,2018/11/8,2017/7/1,2017/5/4,2016/3/1,2015/12/29,2011/12/29,2010/7/15,2009/8/27"
13-22-36-64-80-84,1,2013/3/9
39-85-87,2,"2015/12/1,2013/10/12"
24-88,7,"2021/5/27,2021/1/14,2020/7/7,2017/11/18,2016/4/2,2011/11/19,2010/2/6"
22-86,10,"2022/6/6,2022/3/15,2021/11/2,2020/3/12,2017/9/16,2017/8/17,2014/10/30,2012/4/14,2011/10/22,2009/8/25"
20-44-51,2,"2011/6/7,2009/1/27"
14-52-75,2,"2013/8/8,2010/7/3"
24-45-63,3,"2016/6/18,2016/6/7,2016/1/26"
12-24-56,2,"2012/1/5,2009/6/30"
20-21-24-43-76-89,1,2013/8/17
35-41-43,2,"2022/6/4,2020/3/10"
68-81,13,"2020/2/11,2019/6/18,2018/8/25,2016/1/30,2015/3/10,2015/3/7,2013/4/9,2012/7/28,2012/4/24,2011/7/14,2010/5/11,2009/7/30,2009/2/24"
38-54-76,2,"2017/6/20,2010/4/29"
17-25-52-55-67-75,1,2018/2/20
43-50-51,3,"2020/10/20,2011/8/27,2010/7/8"
74-85,7,"2017/1/24,2013/8/3,2013/5/14,2013/5/4,2012/8/16,2010/9/23,2009/11/5"
27-71,3,"2016/2/11,2013/3/21,2012/1/17"
4-11-13-42-54-75,1,2012/8/11
16-19-41-72-78-82,1,2021/3/27
13-33-35-60-78-81,1,2020/6/27
8-23-58-61-76-79,1,2009/2/7
23-72,9,"2021/11/23,2020/1/23,2020/1/7,2018/4/17,2018/3/22,2018/3/1,2012/9/15,2011/1/20,2009/10/6"
34-53,5,"2022/6/14,2018/7/26,2016/7/9,2015/8/4,2014/1/25"
73-84-85,2,"2021/6/5,2015/11/14"
27-60,5,"2018/7/10,2016/7/21,2015/2/17,2013/12/17,2012/10/16"
13-25-64,2,"2016/12/27,2009/1/17"
22-25-48,2,"2020/2/1,2014/12/11"
27-72,8,"2022/10/27,2022/9/15,2021/6/3,2020/9/5,2019/8/6,2018/4/10,2013/12/17,2012/1/24"
19-25-88,2,"2015/7/7,2013/6/22"
51-56-65,2,"2021/6/22,2016/12/6"
3-90,9,"2019/7/13,2017/3/28,2016/6/6,2013/7/2,2013/2/19,2011/8/4,2011/5/12,2010/12/14,2010/9/7"
1-65-67,3,"2019/8/22,2016/3/17,2010/8/7"
35-87,6,"2019/10/8,2018/11/3,2014/3/8,2013/9/10,2012/8/4,2011/11/26"
34-46-50-86,2,"2019/2/5,2017/8/22"
36-63,14,"2021/4/13,2021/2/13,2020/1/11,2019/8/24,2017/9/16,2016/2/6,2015/12/24,2015/12/15,2015/10/13,2015/3/12,2013/11/16,2013/7/9,2011/7/23,2009/6/25"
38-58-76,2,"2016/12/29,2009/7/16"
32-52-59,2,"2019/3/21,2013/3/5"
18-36,2,"2015/4/18,2011/11/15"
40-57,10,"2021/5/3,2020/12/5,2019/7/4,2017/11/14,2016/8/25,2015/10/29,2015/6/6,2014/5/10,2014/3/13,2011/6/14"
65-69,5,"2022/10/20,2022/10/13,2019/5/30,2019/4/29,2009/2/28"
52-84,12,"2022/2/26,2021/8/5,2019/3/26,2017/7/27,2016/5/12,2015/11/24,2015/4/21,2014/8/21,2014/5/29,2013/4/4,2012/10/2,2012/1/28"
41-60-63,2,"2018/7/10,2011/9/6"
4-17-56,2,"2016/3/15,2010/1/30"
2-18-20-23-30-75,1,2017/6/24
30-84-89,2,"2019/5/28,2009/4/2"
8-65-69,2,"2022/10/20,2019/4/29"
6-32-87,2,"2022/8/11,2013/5/21"
11-49-61,2,"2011/1/27,2009/2/3"
12-17-32-47-74-86,1,2015/7/14
4-16-38-70-86-88,1,2020/9/26
22-47,8,"2022/2/12,2021/7/31,2018/6/16,2018/1/30,2016/11/5,2016/4/30,2015/7/18,2009/5/12"
16-56,8,"2021/8/10,2019/3/5,2017/4/13,2016/9/24,2016/3/3,2012/6/4,2010/7/31,2009/6/6"
11-35-52,2,"2018/3/29,2013/11/30"
5-36-69,2,"2012/10/20,2012/7/19"
27-45-53,2,"2021/6/1,2016/2/11"
24-62-66,2,"2018/3/24,2013/2/28"
43-67,12,"2018/10/30,2018/8/14,2016/10/20,2016/7/16,2016/3/26,2015/5/19,2014/2/11,2012/2/28,2012/2/4,2011/5/7,2010/2/27,2009/5/7"
35-75-82,2,"2013/4/30,2011/5/10"
65-74,10,"2022/2/19,2019/4/29,2018/8/2,2013/12/24,2013/10/5,2011/7/26,2011/5/24,2010/8/7,2010/1/19,2009/1/27"
46-84,4,"2020/1/30,2018/11/10,2015/12/3,2015/3/26"
11-87,11,"2020/3/7,2019/2/21,2019/1/29,2017/3/4,2016/6/25,2015/12/17,2015/1/20,2014/4/8,2013/10/17,2012/4/3,2009/4/28"
11-15-17-37-54-89,1,2021/12/23
9-42-71,3,"2017/6/22,2015/9/17,2011/3/1"
11-20-51,2,"2022/4/7,2014/4/17"
35-60-75,2,"2020/10/8,2019/8/31"
8-75,4,"2022/3/15,2020/10/8,2013/8/1,2011/9/10"
10-65-86,2,"2013/12/24,2012/9/20"
64-86,6,"2021/9/9,2019/7/4,2018/5/31,2017/3/25,2016/5/26,2012/2/11"
6-61-63,2,"2021/7/22,2015/10/17"
7-57-89,2,"2020/6/30,2018/2/10"
5-59-65,2,"2019/10/15,2010/1/19"
6-35-53-67-75-89,1,2009/7/4
56-72-78,2,"2011/12/10,2011/4/26"
7-17-66,2,"2021/11/16,2012/11/5"
7-54,3,"2019/9/5,2018/12/1,2009/4/27"
10-59-80,2,"2019/2/16,2014/8/7"
3-16-24-27-44-88,1,2017/11/18
22-38-47-51-61-85,1,2016/4/30
23-63,7,"2022/1/29,2019/6/18,2015/1/24,2014/12/9,2010/11/18,2010/1/2,2009/6/25"
56-72-82,2,"2016/7/14,2015/2/24"
7-43,7,"2022/7/21,2021/5/22,2018/7/24,2013/10/3,2009/5/5,2009/2/14,2009/2/5"
28-33-38-41-66-72,1,2018/7/3
27-86,10,"2021/11/2,2021/10/21,2021/6/3,2019/3/14,2017/7/15,2017/4/8,2014/4/29,2013/9/24,2010/12/16,2009/1/29"
31-63,5,"2016/12/1,2014/8/16,2013/5/4,2012/9/1,2009/11/14"
31-32-60,2,"2016/11/8,2015/2/14"
36-42-78,2,"2020/9/12,2014/3/25"
5-8-18-28-33-59,1,2022/6/11
37-66,9,"2022/6/23,2019/9/28,2019/3/12,2019/3/2,2016/8/27,2014/5/27,2013/11/21,2011/3/29,2009/11/12"
35-83,5,"2018/3/27,2017/10/7,2013/4/16,2012/12/4,2010/12/11"
9-19-40-62-67-71,1,2021/10/2
5-78-81,2,"2022/1/4,2017/7/29"
7-13-49,2,"2016/10/29,2013/2/5"
4-14-45,2,"2020/8/1,2009/3/7"
8-28-44-57-85-88,1,2014/10/25
2-20-25-67-78-80,1,2022/5/21
26-86,8,"2021/10/21,2020/2/15,2016/11/10,2015/10/31,2015/4/11,2012/6/23,2011/1/8,2010/9/9"
2-13-22-37-48-90,1,2015/1/10
1-42,9,"2022/9/17,2022/8/6,2020/12/10,2020/8/29,2019/8/22,2016/7/23,2016/4/14,2015/12/5,2009/11/19"
3-6-12-13-19-67,1,2014/1/23
3-33-62-69-75-79,1,2011/11/24
53-70,5,"2020/1/21,2018/2/13,2014/11/27,2010/8/24,2009/3/17"
6-24-63,2,"2019/8/8,2015/12/24"
65-66-72,2,"2017/10/10,2014/11/18"
16-25-52-59-64-74,1,2019/12/5
7-60-69,2,"2014/7/22,2009/6/4"
33-77,5,"2022/1/20,2018/10/6,2017/5/25,2015/11/10,2009/5/26"
10-19-47-67-68-75,1,2018/7/28
6-19-51,3,"2022/1/15,2012/3/1,2011/7/2"
22-25,13,"2022/9/3,2022/5/24,2022/4/30,2021/11/4,2020/12/24,2020/2/1,2019/7/6,2017/1/10,2014/12/11,2014/11/22,2014/4/10,2013/1/29,2011/6/18"
17-55-70,2,"2018/6/23,2013/7/9"
6-19-48-51-73-89,1,2022/1/15
20-33,8,"2021/6/17,2018/3/20,2017/5/4,2015/6/23,2014/2/13,2013/7/20,2012/9/1,2010/7/13"
28-29,10,"2022/7/16,2021/3/13,2020/3/19,2018/8/30,2017/8/26,2016/11/19,2016/7/19,2014/7/26,2012/9/22,2012/2/21"
6-32-54,2,"2017/7/8,2013/5/21"
36-73,6,"2019/1/12,2015/3/12,2015/3/7,2013/6/6,2010/9/11,2009/11/21"
2-42-67,2,"2016/4/14,2013/12/7"
31-55-78,2,"2015/4/30,2013/11/28"
27-38-40,2,"2016/2/16,2015/2/7"
4-5-46,2,"2019/10/3,2010/7/15"
47-68-69,2,"2020/6/11,2016/11/26"
16-25,7,"2019/12/5,2019/6/11,2015/6/30,2013/5/9,2012/5/3,2011/11/22,2009/11/17"
12-30-84,2,"2011/11/17,2009/4/2"
10-20-87,2,"2022/10/6,2013/10/12"
15-24-28-34-56-73,1,2018/11/22
5-32,7,"2018/1/23,2017/8/31,2016/1/23,2014/7/15,2014/7/8,2011/8/2,2011/5/19"
37-67-75,2,"2019/5/16,2016/7/16"
7-31-89,2,"2021/9/7,2018/2/10"
6-67,14,"2022/10/20,2020/9/12,2020/7/11,2020/6/18,2017/8/12,2016/4/14,2015/5/19,2014/1/23,2012/10/9,2011/1/22,2010/9/30,2010/4/24,2010/3/25,2009/7/4"
16-51-85,2,"2020/12/15,2010/6/10"
1-8-54,2,"2017/8/1,2012/3/10"
45-87,9,"2022/8/4,2022/5/26,2020/8/22,2019/12/23,2016/4/7,2016/1/26,2015/6/4,2014/7/29,2014/3/8"
32-37-52-53-66-83,1,2014/5/27
46-73,13,"2022/5/24,2020/10/10,2020/7/4,2019/4/18,2018/8/9,2017/9/19,2017/5/20,2015/12/19,2015/6/25,2015/5/2,2014/12/24,2010/11/20"
4-10-59,2,"2016/9/17,2009/6/11"
18-22-55-58-62-89,1,2014/12/23
5-38-82,2,"2018/11/17,2013/4/30"
7-36-38-63-73-90,1,2015/3/12
63-70,8,"2019/2/19,2017/5/9,2016/6/7,2015/7/21,2013/7/9,2012/6/7,2010/1/2,2009/7/28"
14-24-26-57-67-89,1,2016/3/24
8-9-11-14-79-90,1,2010/3/13
24-26-89,2,"2018/10/25,2016/3/24"
16-21-53,2,"2017/4/6,2017/3/14"
2-8,5,"2019/5/23,2017/1/7,2013/10/5,2012/8/2,2011/9/10"
6-11-59,2,"2014/7/17,2012/4/28"
7-35-36-41-45-88,1,2009/7/25
46-58-77,2,"2021/2/13,2015/5/7"
15-18-56-67-72-74,1,2018/9/20
10-41-61,2,"2021/12/27,2015/4/28"
21-24-25,2,"2021/7/8,2013/8/1"
17-52,11,"2019/11/28,2018/2/20,2017/12/30,2016/1/16,2015/4/21,2013/3/30,2012/8/30,2012/1/28,2010/12/11,2010/1/30,2009/12/22"
42-48,6,"2021/1/30,2014/11/20,2014/6/10,2013/5/11,2012/11/24,2012/9/11"
36-37-46-48-51-74,1,2017/7/6
9-11,12,"2021/6/8,2017/2/23,2017/2/11,2016/5/21,2014/2/13,2012/11/20,2012/4/21,2011/7/2,2010/3/13,2009/11/7,2009/5/9,2009/3/24"
59-77,5,"2016/4/26,2015/2/10,2014/9/25,2012/11/22,2012/7/26"
38-46,11,"2020/7/4,2017/9/19,2017/6/20,2015/12/3,2015/10/24,2014/8/30,2014/3/18,2013/7/25,2012/8/16,2010/6/3,2009/7/2"
33-42-85,2,"2018/3/13,2010/10/21"
50-54-62,3,"2021/1/14,2016/4/21,2012/3/29"
48-83,16,"2022/4/5,2021/12/9,2019/12/3,2018/11/20,2018/2/27,2018/2/24,2017/6/17,2016/9/13,2015/10/27,2015/4/4,2014/11/20,2013/9/12,2013/5/11,2011/4/30,2011/2/19,2010/2/16"
61-63,8,"2021/7/22,2019/3/16,2018/9/11,2016/7/28,2015/10/17,2015/3/3,2014/7/3,2009/8/6"
33-37,7,"2022/1/20,2019/6/27,2019/4/9,2014/4/5,2012/5/19,2009/8/1,2009/6/3"
6-79,9,"2022/6/30,2020/6/30,2018/5/5,2018/3/31,2017/10/3,2016/9/8,2014/10/16,2014/7/17,2014/5/8"
1-7-56,2,"2014/5/31,2013/9/3"
5-56,9,"2022/10/18,2015/2/28,2014/1/21,2013/10/22,2013/6/8,2012/11/27,2012/5/15,2011/10/6,2009/10/13"
35-37-50-75-77-81,1,2021/1/2
9-15,11,"2022/2/22,2022/2/19,2020/11/24,2019/3/9,2018/11/10,2018/6/16,2017/1/28,2011/10/22,2010/12/16,2010/10/14,2009/12/19"
54-65-70-85,2,"2016/12/10,2010/11/23"
45-84,12,"2021/11/25,2019/8/29,2019/3/26,2017/1/14,2014/12/16,2012/7/24,2011/9/17,2011/2/17,2010/5/3,2009/10/17,2009/5/2,2009/3/7"
55-64-77,2,"2018/7/7,2014/1/2"
30-43,3,"2018/2/8,2012/2/4,2011/2/1"
16-55-63-69,2,"2018/8/30,2013/11/16"
6-7,9,"2020/6/30,2018/3/31,2017/11/4,2015/8/22,2014/5/31,2012/9/29,2011/7/5,2010/7/29,2010/4/24"
18-89,8,"2022/1/4,2019/4/20,2018/7/12,2014/12/23,2012/12/6,2011/8/6,2010/9/2,2009/2/10"
39-67,8,"2022/10/20,2021/5/20,2020/11/26,2020/8/20,2020/7/16,2018/6/7,2014/9/4,2010/12/27"
14-48-86,2,"2016/9/15,2016/5/24"
21-23-36,2,"2012/9/15,2010/1/28"
7-41-56-61-68-84,1,2012/10/18
9-49-60,2,"2022/2/15,2015/9/19"
44-64,10,"2022/4/26,2021/11/30,2018/4/26,2017/8/14,2014/10/23,2013/9/12,2013/8/27,2013/2/14,2011/10/15,2010/3/23"
28-43,13,"2022/10/22,2022/7/16,2021/3/16,2021/3/13,2021/1/19,2018/1/4,2017/12/28,2017/5/2,2016/11/19,2016/8/25,2016/3/26,2014/10/11,2012/1/31"
4-26-52-65-66-72,1,2017/10/10
32-63-76,2,"2022/4/19,2017/3/21"
37-65-89,2,"2017/3/2,2009/4/7"
52-65,15,"2021/11/11,2021/7/3,2018/5/15,2018/3/8,2017/10/10,2017/3/2,2016/12/12,2014/12/4,2014/4/10,2013/7/13,2013/1/19,2012/12/20,2012/6/19,2011/11/3,2011/2/5"
13-33-40-61-78-80,1,2019/7/27
28-58-77,2,"2022/8/20,2020/8/18"
2-50-85,3,"2019/2/28,2017/10/14,2011/2/24"
14-44-54,2,"2016/6/25,2011/1/7"
8-76,3,"2017/4/1,2009/6/13,2009/2/7"
31-53,6,"2022/10/22,2022/6/6,2016/12/15,2014/9/4,2013/6/8,2010/11/2"
31-39-67,2,"2021/5/20,2014/9/4"
1-40-54,2,"2012/3/10,2009/3/19"
30-83,9,"2022/1/27,2021/5/11,2019/8/1,2019/2/14,2013/11/12,2013/4/16,2012/6/12,2012/2/7,2010/1/9"
1-60-83,2,"2015/12/10,2011/12/9"
9-32-45,2,"2018/6/30,2017/1/3"
26-60-61-72-85-88,1,2009/9/15
24-66-74,2,"2012/11/15,2010/1/14"
1-21-43,2,"2020/10/22,2019/11/9"
38-49-51-59-77-90,1,2016/4/26
27-29-67,2,"2015/1/29,2014/1/28"
40-55-62,2,"2015/5/9,2011/12/15"
1-13-17-31-58-62,1,2009/5/30
66-75,9,"2022/9/10,2021/11/13,2020/8/13,2019/9/28,2019/2/26,2012/7/10,2012/5/31,2012/3/24,2009/12/5"
46-55-73,2,"2017/9/19,2015/12/19"
25-41-79,2,"2017/4/29,2012/2/14"
22-77,13,"2022/2/12,2021/11/2,2021/10/7,2020/8/18,2019/6/13,2019/4/13,2018/1/30,2017/12/19,2017/6/3,2017/5/13,2014/8/5,2014/5/24,2013/3/12"
1-11,7,"2021/10/23,2020/6/16,2017/11/14,2013/4/27,2013/2/23,2011/1/27,2009/3/24"
29-39,11,"2022/8/9,2020/6/20,2019/9/3,2018/3/22,2017/9/9,2015/11/17,2015/5/23,2012/9/6,2012/2/21,2011/6/11,2010/12/30"
18-90,9,"2022/9/8,2015/6/18,2013/7/2,2011/8/25,2011/8/6,2011/8/4,2010/5/8,2010/3/2,2009/2/10"
11-30,3,"2016/4/28,2014/7/10,2012/7/26"
2-10-41-49-56-71,1,2018/1/13
71-82,4,"2020/7/28,2020/7/14,2018/1/11,2013/3/2"
39-51,8,"2021/1/26,2019/12/12,2018/8/21,2018/6/26,2014/8/28,2012/12/29,2010/12/4,2009/11/17"
16-29-34,2,"2017/4/4,2009/1/2"
26-57-89,2,"2016/3/24,2016/2/18"
32-63,9,"2022/4/19,2019/4/23,2019/3/23,2019/2/19,2017/3/21,2017/2/11,2012/6/7,2010/11/18,2009/9/17"
32-75-81,2,"2016/11/8,2012/6/7"
12-35-75-76,2,"2021/12/16,2011/5/10"
29-74-76,2,"2018/1/16,2017/4/18"
9-26-27-49-54-76,1,2019/2/7
8-17-28-35-74-82,1,2017/4/24
28-29-43-59-70-79,1,2021/3/13
22-81-89,2,"2022/3/26,2013/11/9"
8-14-60,2,"2021/10/14,2009/6/6"
14-31-40,2,"2015/1/3,2009/1/7"
40-67,9,"2021/10/2,2020/7/16,2020/7/11,2020/3/5,2018/10/30,2017/8/12,2016/9/29,2010/10/30,2009/1/22"
19-50,4,"2017/8/5,2014/6/12,2013/11/7,2010/7/20"
29-72-89,2,"2017/8/31,2013/7/16"
22-56,9,"2021/9/18,2020/3/12,2018/7/21,2016/9/24,2016/7/2,2012/12/18,2011/10/22,2011/5/14,2011/4/7"
39-51-84,2,"2014/8/28,2012/12/29"
44-73-86,2,"2017/7/15,2015/2/26"
2-25-84,3,"2013/6/22,2012/1/28,2009/5/2"
29-50-86,2,"2018/1/18,2011/4/12"
13-34-83,2,"2015/4/23,2012/3/15"
8-65-74,2,"2019/4/29,2013/10/5"
8-47-83,2,"2015/4/23,2014/3/27"
34-47-73,2,"2019/8/27,2013/6/6"
6-24-36,2,"2021/7/27,2015/12/24"
16-21-78,3,"2014/4/22,2013/10/1,2010/3/6"
5-25-42-51-71-84,1,2022/8/18
32-86,11,"2022/10/29,2018/9/8,2018/6/9,2016/12/24,2016/7/7,2016/5/26,2015/7/14,2014/2/27,2013/6/18,2010/9/9,2009/1/29"
2-45,8,"2021/3/23,2021/3/4,2018/3/15,2015/7/25,2012/7/24,2011/3/29,2010/11/13,2009/5/2"
10-42-48-67-83-84,1,2013/5/11
45-66-87,2,"2022/8/4,2016/4/7"
6-9-45,2,"2018/3/31,2011/7/2"
1-5-49,2,"2013/8/24,2011/8/2"
6-46-53,3,"2020/1/21,2017/12/30,2017/5/20"
5-83,6,"2022/4/5,2019/12/3,2016/6/28,2011/5/19,2010/9/16,2009/4/14"
25-74,13,"2022/8/2,2021/7/8,2019/12/19,2019/12/5,2018/4/28,2017/12/14,2017/3/23,2014/1/14,2012/7/7,2011/11/12,2011/6/18,2010/9/23,2010/4/22"
38-57,8,"2022/2/8,2019/1/8,2017/10/26,2015/3/19,2013/9/26,2013/7/25,2012/3/31,2011/8/25"
32-74-89,2,"2014/7/29,2009/9/17"
47-67-90,2,"2019/7/16,2013/4/11"
57-73,6,"2021/12/18,2020/6/13,2018/8/11,2017/5/6,2015/2/26,2009/11/21"
20-44-90,2,"2019/9/26,2011/6/7"
11-34-59,2,"2015/6/30,2012/4/28"
69-77,9,"2022/6/7,2022/4/16,2017/11/7,2017/6/13,2015/9/26,2015/5/26,2012/6/12,2011/1/11,2010/3/25"
17-48-61,2,"2015/6/27,2010/3/4"
16-57-78,2,"2017/5/27,2010/3/6"
13-48,9,"2020/3/5,2019/7/2,2017/9/21,2015/9/1,2015/1/10,2013/10/31,2013/1/12,2012/6/26,2010/8/28"
11-83,11,"2021/10/23,2018/7/5,2017/2/11,2016/9/22,2016/4/23,2015/12/17,2015/4/4,2014/10/11,2013/1/2,2012/3/31,2011/2/8"
78-87,8,"2022/1/13,2021/3/30,2020/9/10,2020/5/16,2015/9/3,2015/5/5,2013/11/5,2013/9/7"
12-26-70,2,"2017/6/6,2014/9/9"
41-84,13,"2022/10/8,2022/8/25,2021/8/5,2021/6/19,2020/10/29,2020/6/25,2018/5/10,2017/4/29,2013/8/13,2012/10/18,2012/2/16,2011/3/3,2010/6/29"
30-49-61-62-79-87,1,2021/12/21
15-74-87,2,"2013/8/3,2009/8/27"
4-5-49,2,"2020/8/13,2016/1/23"
62-88,9,"2022/8/13,2021/1/14,2019/9/12,2019/1/12,2017/1/7,2014/1/25,2013/6/4,2010/2/2,2009/12/28"
16-62,8,"2021/7/10,2019/1/12,2017/11/25,2017/3/16,2016/3/3,2014/4/22,2010/6/12,2009/12/29"
